#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass,col1,col2,GroupID,GroupSize,Separation
6431,56311,142,'v5_10_0',Decimal('7240701439449735168'),174.70879,20.982277,12.27,1.01706,2.25E-4,0,'QSO','BROADLINE',174.70879806,20.982275,,,0.028032403614713583
1367,53083,419,'26',Decimal('1539220398221060096'),174.74499,45.060701,27.99,0.299713,5.0E-5,0,'QSO','BROADLINE',174.74499611,45.06073611,1,2,0.1273473521515281
7398,56781,133,'v5_10_0',Decimal('8329444183350681600'),174.745,45.060703,30.44,0.299645,2.5E-5,0,'QSO','STARBURST BROADLINE',174.74499611,45.06073611,1,2,0.11960574651934602
7099,56666,869,'v5_10_0',Decimal('7993002419414867968'),174.78729,59.198603,54.63,0.060983,1.2E-5,0,'QSO','AGN BROADLINE',174.78728806,59.19860306,2,2,0.003582770746641978
952,52409,35,'26',Decimal('1071866372457261056'),174.78738,59.198561,57.18,0.061078,1.9E-5,16,'QSO','BROADLINE',174.78728806,59.19860306,2,2,0.22727072174892848
6431,56311,904,'v5_10_0',Decimal('7240910896414826496'),174.86953,22.237067,18.93,0.491609,4.9E-5,0,'QSO','BROADLINE',174.86953806,22.23706694,,,0.026858831134316027
7398,56781,936,'v5_10_0',Decimal('8329664910309957632'),174.87954,46.103984,1.25,1.82007,5.79E-4,0,'QSO','BROADLINE',174.87954389,46.10398389,,,0.009717769478161203
1367,53083,424,'26',Decimal('1539221772610594816'),174.97261,45.69628,24.03,1.93124,3.31E-4,0,'QSO','BROADLINE',174.97261111,45.69627889,3,2,0.004874217298676165
6645,56398,618,'v5_10_0',Decimal('7481774862857379840'),174.97261,45.696277,32.89,1.93012,2.15E-4,0,'QSO','BROADLINE',174.97261111,45.69627889,3,2,0.007354209299980584
6416,56312,508,'v5_10_0',Decimal('7223913546177814528'),174.97898,25.119028,31.52,0.736597,3.6E-5,0,'QSO','BROADLINE',174.97897611,25.11903,4,2,0.014581239920079241
2505,53856,485,'26',Decimal('2820512647118612480'),174.97899,25.119027,33.4,0.736525,5.1E-5,0,'QSO','BROADLINE',174.97897611,25.11903,4,2,0.046545321975013695
1015,52709,84,'26',Decimal('1142811540638951424'),175.18176,53.410841,7.79,0.529927,1.33E-4,0,'QSO','BROADLINE',175.18179889,53.41082694,5,4,0.09760285878150819
1015,52734,85,'26',Decimal('1142811815936288768'),175.18176,53.410841,12.55,0.529861,9.2E-5,0,'QSO','BROADLINE',175.18179889,53.41082694,5,4,0.09760285878150819
6690,56416,746,'v5_10_0',Decimal('7532475543339376640'),175.18177,53.410835,19.95,0.530176,4.9E-5,0,'QSO','BROADLINE',175.18179889,53.41082694,5,4,0.0684483943127843
8163,57049,814,'v5_10_0',Decimal('9190944808436211712'),175.1818,53.410827,25.69,0.529764,5.9E-5,0,'QSO','BROADLINE',175.18179889,53.41082694,5,4,0.002391682110644397
880,52367,491,'26',Decimal('990926922785515520'),175.281,52.471843,36.94,1.26393,1.65E-4,0,'QSO','BROADLINE',175.28101111,52.471845,6,2,0.02540522786035917
6690,56416,780,'v5_10_0',Decimal('7532484889188212736'),175.28103,52.47185,36.05,1.26363,1.37E-4,0,'QSO','BROADLINE',175.28101111,52.471845,6,2,0.04516643799474914
7114,56748,62,'v5_10_0',Decimal('8009669092922335232'),175.36168,65.606266,21.55,0.804303,7.0E-5,0,'QSO','BROADLINE',175.36167694,65.60626611,,,0.004566862532410949
1761,53376,304,'26',Decimal('1982793355473479680'),175.43286,14.252712,20.87,1.44118,2.18E-4,0,'QSO','BROADLINE',175.43285194,14.25270611,,,0.035220806737300124
6697,56419,162,'v5_10_0',Decimal('7540196314039951360'),175.48094,53.218881,36.92,2.13581,1.48E-4,0,'QSO','BROADLINE',175.48099194,53.21881306,,,0.2689908081709709
6406,56330,398,'v5_10_0',Decimal('7212624310841614336'),175.60966,28.285435,37.86,1.62408,3.88E-4,0,'QSO','BROADLINE',175.609655,28.28543611,7,2,0.016346701252958593
2221,53792,404,'26',Decimal('2500734807391102976'),175.60967,28.285438,32.39,1.63061,2.84E-4,0,'QSO','BROADLINE',175.609655,28.28543611,7,2,0.04803659006613062
1608,53138,208,'26',Decimal('1810504277454514176'),175.63274,11.401016,4.69,0.307236,3.9E-5,0,'QSO','AGN BROADLINE',175.63274,11.40101,8,2,0.021600000005256494
5379,55986,188,'v5_10_0',Decimal('6056267376382418944'),175.63274,11.40101,5.35,0.307108,6.6E-5,0,'QSO','STARBURST BROADLINE',175.63274,11.40101,8,2,0.0
6410,56336,102,'v5_10_0',Decimal('7217046546709192704'),175.66174,26.224329,7.66,0.519425,3.8E-5,0,'QSO','BROADLINE',175.66174194,26.22432889,,,0.006277645030006737
1444,53054,131,'26',Decimal('1625835525724203008'),175.67179,46.410089,33.35,0.114864,2.3E-5,0,'QSO','BROADLINE',175.671795,46.41008806,9,2,0.012863934620314032
7401,56808,628,'v5_10_0',Decimal('8332957948088131584'),175.6718,46.410084,48.15,0.115114,2.0E-5,0,'QSO','BROADLINE',175.671795,46.41008806,9,2,0.019174379393540077
6410,56336,934,'v5_10_0',Decimal('7217275245127770112'),175.7261,26.915985,44.47,2.61552,1.08E-4,0,'QSO','BROADLINE',175.72610111,26.91598611,10,2,0.00535386108101458
2221,53792,196,'26',Decimal('2500677632786458624'),175.72611,26.915996,38.25,2.61501,1.25E-4,0,'QSO','BROADLINE',175.72610111,26.91598611,10,2,0.04562902362046678
1445,53062,488,'26',Decimal('1627059557178042368'),175.76353,42.526652,23.99,0.706472,8.2E-5,0,'QSO','BROADLINE',175.76352889,42.526655,11,2,0.011194304793488579
4698,55623,674,'v5_10_0',Decimal('5289663124395237376'),175.76353,42.526654,32.29,0.706285,5.1E-5,0,'QSO','BROADLINE',175.76352889,42.526655,11,2,0.0046510707945980135
7112,56666,559,'v5_10_0',Decimal('8007553906052669440'),175.79832,65.25382,33.0,2.38891,1.24E-4,0,'QSO','BROADLINE',175.79831889,65.25382,12,2,0.0016727223933902223
597,52059,604,'26',Decimal('672328305185155072'),175.7984,65.253753,25.09,2.38907,1.82E-4,0,'QSO','BROADLINE',175.79831889,65.25382,12,2,0.27040243519489193
1620,53137,499,'26',Decimal('1824095065790769152'),175.9161,7.518275,25.98,1.3052,2.35E-4,0,'QSO','BROADLINE',175.9161,7.51827194,13,2,0.011015999996841315
5377,55957,100,'v5_10_0',Decimal('6053991386826383360'),175.9161,7.518271,32.42,1.3065,1.65E-4,0,'QSO','BROADLINE',175.9161,7.51827194,13,2,0.00338400000284635
7112,56666,537,'v5_10_0',Decimal('8007547858738716672'),176.03279,64.74674,47.95,2.72033,4.13E-4,0,'QSO','BROADLINE',176.03278694,64.74674,,,0.004699648138880337
7402,56810,180,'v5_10_0',Decimal('8333960702726217728'),176.14844,46.632644,39.53,0.662469,4.8E-5,0,'QSO','BROADLINE',176.14844306,46.63264611,14,2,0.010720041031121855
1444,53054,115,'26',Decimal('1625831127677691904'),176.14846,46.632626,26.55,0.662108,6.4E-5,0,'QSO','BROADLINE',176.14844306,46.63264611,14,2,0.08363485209710342
514,51994,450,'26',Decimal('578836280629028864'),176.27688,3.701315,30.93,0.968998,1.69E-4,0,'QSO','BROADLINE',176.27687889,3.70130889,15,2,0.022354540642828425
4766,55677,104,'v5_10_0',Decimal('5366067638559547392'),176.27688,3.701307,42.12,0.971682,8.3E-5,0,'QSO','BROADLINE',176.27687889,3.70130889,15,2,0.007886436929916798
7092,56683,846,'v5_10_0',Decimal('7985114798160322560'),176.28337,57.716279,5.11,2.78823,8.1E-4,0,'QSO','BROADLINE',176.28336694,57.71627889,16,2,0.005897090709802722
8234,57450,521,'v5_10_0',Decimal('9270803169322967040'),176.28337,57.716279,5.33,2.78339,5.51E-4,0,'QSO','BROADLINE',176.28336694,57.71627889,16,2,0.005897090709802722
1444,53054,11,'26',Decimal('1625802540375369728'),176.49812,46.219222,26.36,0.15423,2.2E-5,0,'QSO','STARBURST BROADLINE',176.498135,46.21921611,17,2,0.04296018681999274
7404,56776,518,'v5_10_0',Decimal('8336305410702024704'),176.49813,46.219213,31.06,0.154271,1.9E-5,0,'QSO','BROADLINE',176.498135,46.21921611,17,2,0.016746880311525793
1970,53386,196,'26',Decimal('2218076749357410304'),176.7429,39.976202,20.46,1.08791,2.52E-4,0,'QSO','BROADLINE',176.74289389,39.97618694,18,3,0.05677580643510493
4654,55659,886,'v5_10_0',Decimal('5240181803214413824'),176.7429,39.976187,32.57,1.09115,3.4E-4,0,'QSO','BROADLINE',176.74289389,39.97618694,18,3,0.016857172299351506
8842,57424,722,'v5_10_0',Decimal('9955405562706370560'),176.74299,39.976253,39.02,1.08789,2.43E-4,0,'QSO','BROADLINE',176.74289389,39.97618694,18,3,0.35616847905839133
5382,55982,563,'v5_10_0',Decimal('6059748155250941952'),176.77185,8.650186,18.93,4.89735,5.54E-4,0,'QSO','BROADLINE',176.77184389,8.65018806,,,0.022975567350619144
4614,55604,770,'v5_10_0',Decimal('5195113920180756480'),176.93478,33.085472,35.31,1.17503,1.37E-4,0,'QSO','BROADLINE',176.93479,33.08546694,19,2,0.03523663859446152
2097,53491,51,'26',Decimal('2361026181991524352'),176.93479,33.085474,30.93,1.17341,1.95E-4,0,'QSO','BROADLINE',176.93479,33.08546694,19,2,0.025415999985078982
6683,56416,436,'v5_10_0',Decimal('7524509031840325632'),177.16664,51.160324,22.22,0.259659,2.8E-5,0,'QSO','STARBURST BROADLINE',177.166645,51.160335,20,2,0.04117756682666015
881,52368,206,'26',Decimal('991974482505656320'),177.16667,51.160333,22.12,0.25962,6.2E-5,0,'QSO','STARBURST BROADLINE',177.166645,51.160335,20,2,0.056900260084267795
6403,56357,718,'v5_10_0',Decimal('7209334572504293376'),177.74683,30.965114,20.33,0.841848,6.7E-5,0,'QSO','BROADLINE',177.74682611,30.96511306,21,2,0.012475871480565084
2224,53815,328,'26',Decimal('2504091616776579072'),177.74684,30.965127,25.13,0.841695,1.42E-4,0,'QSO','BROADLINE',177.74682611,30.96511306,21,2,0.06600689942466526
4697,55660,554,'v5_10_0',Decimal('5288504239760318464'),177.77517,40.689505,5.23,0.41514,3.2E-5,0,'QSO','BROADLINE',177.77516694,40.68950306,22,2,0.010887956167948418
1970,53386,504,'26',Decimal('2218161411752749056'),177.77518,40.689511,4.46,0.415289,2.9E-5,0,'QSO','BROADLINE',177.77516694,40.68950306,22,2,0.04569432903961476
1368,53084,518,'26',Decimal('1540373511057467392'),177.87847,45.797712,7.76,0.913344,5.18E-4,0,'QSO','',177.87846611,45.79771306,23,2,0.010482738414123746
6644,56384,448,'v5_10_0',Decimal('7480602233471475712'),177.87847,45.797711,14.82,6.48549,0.001331,0,'QSO','BROADLINE',177.87846611,45.79771306,23,2,0.012260628294598784
5382,55982,818,'v5_10_0',Decimal('6059818249117212672'),178.1214,8.365149,44.6,1.85688,3.28E-4,0,'QSO','BROADLINE',178.12140194,8.36515111,24,2,0.01026855060573844
1621,53383,621,'26',Decimal('1825254504929454080'),178.12141,8.365154,31.77,1.85923,2.45E-4,0,'QSO','BROADLINE',178.12140194,8.36515111,24,2,0.030534443107735454
1368,53084,555,'26',Decimal('1540383681540024320'),178.22299,45.567471,23.98,0.210408,5.9E-5,0,'QSO','STARBURST BROADLINE',178.22299306,45.56746,25,2,0.04034395017380477
7401,56808,24,'v5_10_0',Decimal('8332791921832337408'),178.22299,45.56746,33.77,0.211042,2.8E-5,0,'QSO','STARBURST BROADLINE',178.22299306,45.56746,25,2,0.007711960034120672
7405,57134,712,'v5_10_0',Decimal('8337484642929057792'),178.35194,49.519101,38.64,0.333912,4.6E-5,0,'QSO','STARBURST BROADLINE',178.35194389,49.51910111,26,3,0.009099940329934024
968,52412,229,'26',Decimal('1089934097331021824'),178.35195,49.5191,24.54,0.33364,3.0E-5,0,'QSO','STARBURST BROADLINE',178.35194389,49.51910111,26,3,0.014828261896103293
6677,56385,646,'v5_10_0',Decimal('7517811356239634432'),178.35195,49.5191,24.85,0.333809,3.9E-5,0,'QSO','STARBURST BROADLINE',178.35194389,49.51910111,26,3,0.014828261896103293
1763,53463,271,'26',Decimal('1985036085775853568'),178.5186,14.788796,37.71,0.850357,9.9E-5,0,'QSO','BROADLINE',178.51859194,14.78878889,27,2,0.03797666174792379
5386,56008,667,'v5_10_0',Decimal('6064280342616842240'),178.5186,14.788792,45.78,0.850502,5.8E-5,0,'QSO','BROADLINE',178.51859194,14.78878889,27,2,0.03020632470048623
7106,56663,258,'v5_10_0',Decimal('8000715768311291904'),178.73491,61.614868,23.73,0.151671,1.9E-5,0,'QSO','STARBURST BROADLINE',178.73487889,61.61492306,28,2,0.20524213821114862
777,52320,58,'26',Decimal('874840209458489344'),178.73499,61.614873,28.11,0.151667,2.8E-5,0,'QSO','AGN BROADLINE',178.73487889,61.61492306,28,2,0.26198705974270187
4765,55674,112,'v5_10_0',Decimal('5364943937625628672'),178.76696,3.814005,39.62,0.767965,8.5E-5,0,'QSO','BROADLINE',178.76697611,3.81397611,29,2,0.11901884631119257
840,52374,47,'26',Decimal('945768880838567936'),178.76699,3.813995,23.61,0.768058,9.6E-5,0,'QSO','BROADLINE',178.76697611,3.81397611,29,2,0.08434382512380703
5881,56038,872,'v5_10_0',Decimal('6621657146978181120'),178.82622,19.661725,42.12,1.01853,5.8E-5,0,'QSO','BROADLINE',178.82621806,19.66172611,30,2,0.007695604895095106
2515,54180,141,'26',Decimal('2831677093622867968'),178.82624,19.661733,36.02,1.01856,1.32E-4,0,'QSO','BROADLINE',178.82621806,19.66172611,30,2,0.07840571265435697
6683,56416,778,'v5_10_0',Decimal('7524603040084500480'),178.91567,51.474368,25.35,1.07507,2.6E-4,0,'QSO','BROADLINE',178.91571806,51.47432389,,,0.19191038515388695
6839,56425,830,'v5_10_0',Decimal('7700257719354105856'),178.94142,56.275179,11.62,0.482834,5.5E-5,0,'QSO','BROADLINE',178.94142306,56.27511111,,,0.24448051539111082
1368,53084,565,'26',Decimal('1540386430319093760'),178.97672,44.941204,27.25,0.520935,4.5E-5,0,'QSO','BROADLINE',178.97671111,44.94120306,,,0.0229048149002988
777,52320,116,'26',Decimal('874856152377092096'),179.18381,61.79487,20.61,0.226459,3.9E-5,0,'QSO','BROADLINE',179.183805,61.79493389,31,2,0.2301612795137153
7106,56663,219,'v5_10_0',Decimal('8000705048072921088'),179.18385,61.794849,18.41,0.226297,3.0E-5,0,'QSO','BROADLINE',179.183805,61.79493389,31,2,0.31504944058258033
6677,56385,228,'v5_10_0',Decimal('7517696457274531840'),179.251,48.587588,19.15,2.03177,1.83E-4,0,'QSO','BROADLINE',179.25105194,48.58752111,32,2,0.2707112767673288
1446,53080,569,'26',Decimal('1628207722497337344'),179.25101,48.587515,13.12,2.03373,3.15E-4,0,'QSO','BROADLINE',179.25105194,48.58752111,32,2,0.10226571533594854
1447,53120,571,'26',Decimal('1629334172831082496'),179.36502,43.301757,20.31,0.230117,3.5E-5,0,'QSO','STARBURST BROADLINE',179.36502,43.30175806,33,2,0.00381599996837249
6642,56396,248,'v5_10_0',Decimal('7478295458277728256'),179.36502,43.301758,29.16,0.230408,6.5E-5,0,'QSO','STARBURST BROADLINE',179.36502,43.30175806,33,2,2.1599997703807127E-4
