#plate,mjd,fiberid,run2d,specobj_id,ra,dec,sn_median_r,z,zerr,zwarning,class,subclass,col1,col2,GroupID,GroupSize,Separation
6839,56425,176,'v5_10_0',Decimal('7700077949202964480'),179.37428,54.812366,13.75,0.888393,1.51E-4,0,'QSO','BROADLINE',179.37430111,54.812305,,,0.2239241000106718
5871,56041,200,'v5_10_0',Decimal('6610213430006620160'),179.39516,16.649912,46.22,1.06022,1.07E-4,0,'QSO','BROADLINE',179.39515306,16.649915,34,2,0.026260164260658907
2512,53877,24,'26',Decimal('2828267228103731200'),179.39517,16.649933,31.28,1.06023,1.95E-4,0,'QSO','BROADLINE',179.39515306,16.649915,34,2,0.08725119363468781
6402,56334,216,'v5_10_0',Decimal('7208070683502288896'),179.44996,27.416578,24.53,2.20743,2.86E-4,0,'QSO','BROADLINE',179.44996,27.41657806,35,2,2.1599998848806812E-4
2223,53793,639,'26',Decimal('2503051203529697280'),179.44997,27.416583,18.14,2.21439,2.52E-4,0,'QSO','BROADLINE',179.44996,27.41657806,35,2,0.03657174145471915
1369,53089,392,'26',Decimal('1541464776431921152'),179.68107,45.766766,40.17,1.87001,1.74E-4,0,'QSO','BROADLINE',179.68107611,45.76676306,36,2,0.0186402529255358
6644,56384,168,'v5_10_0',Decimal('7480525267657531392'),179.68107,45.766764,50.1,1.87224,1.08E-4,0,'QSO','BROADLINE',179.68107611,45.76676306,36,2,0.015712715807905463
4847,55931,110,'v5_10_0',Decimal('5457267184542654464'),179.71505,5.699982,9.01,1.70466,2.94E-4,0,'QSO','BROADLINE',179.71506194,5.69997389,37,2,0.05178614769593779
841,52375,411,'26',Decimal('946994836320315392'),179.71506,5.699986,12.85,1.7117,3.04E-4,0,'QSO','BROADLINE',179.71506194,5.69997389,37,2,0.044146419187087664
6475,56337,502,'v5_10_0',Decimal('7290339991833518080'),179.82216,28.637361,19.3,0.21005,2.7E-5,0,'QSO','BROADLINE',179.82216,28.63736111,,,3.960000075197837E-4
7098,56661,928,'v5_10_0',Decimal('7991892737220648960'),180.50423,60.209668,48.65,1.21807,1.4E-4,0,'QSO','BROADLINE',180.50422806,60.20966806,,,0.0034765600042684607
2099,53469,609,'26',Decimal('2363431363308185600'),180.7493,34.935687,17.29,1.76249,2.17E-4,0,'QSO','BROADLINE',180.74930611,34.93568,38,2,0.03098710915653544
4610,55621,440,'v5_10_0',Decimal('5190519611129307136'),180.7493,34.935685,20.1,1.76251,1.16E-4,0,'QSO','BROADLINE',180.74930611,34.93568,38,2,0.025478636962980163
4610,55621,584,'v5_10_0',Decimal('5190559193547907072'),180.76375,35.960124,43.52,0.919815,1.24E-4,0,'QSO','BROADLINE',180.76374806,35.96012389,39,2,0.005666883412697718
2103,53467,150,'26',Decimal('2367808793942714368'),180.76376,35.960126,34.3,0.915728,2.09E-4,0,'QSO','BROADLINE',180.76374806,35.96012389,39,2,0.03561190294994637
6683,56416,1000,'v5_10_0',Decimal('7524664062979842048'),180.88825,51.50399,30.55,0.801444,3.7E-5,0,'QSO','BROADLINE',180.88831194,51.50394806,,,0.20508839912686733
1369,53089,581,'26',Decimal('1541516728356333568'),180.95034,45.997533,26.05,0.343097,4.5E-5,0,'QSO','BROADLINE',180.95032611,45.99752889,40,2,0.037757091517184066
7427,56751,490,'v5_10_0',Decimal('8362193411558580224'),180.95034,45.997529,38.35,0.342974,6.3E-5,0,'QSO','AGN BROADLINE',180.95032611,45.99752889,40,2,0.03473950556450502
778,52337,231,'26',Decimal('876013663528445952'),180.98366,61.934519,31.31,1.2515,2.02E-4,0,'QSO','BROADLINE',180.98365111,61.93459194,41,3,0.2630153557418095
778,54525,229,'26',Decimal('876013150481180672'),180.98366,61.934519,30.42,1.25341,2.01E-4,0,'QSO','BROADLINE',180.98365111,61.93459194,41,3,0.2630153557418095
7106,56663,36,'v5_10_0',Decimal('8000654745415950336'),180.98373,61.934517,31.17,1.25378,4.75E-4,0,'QSO','BROADLINE',180.98365111,61.93459194,41,3,0.30106015166768846
2226,53819,585,'26',Decimal('2506414060279457792'),181.17545,27.903284,33.93,0.164595,6.3E-5,16,'QSO','STARBURST BROADLINE',181.17544694,27.90327889,42,2,0.02081317468182792
6475,56337,302,'v5_10_0',Decimal('7290285016252129280'),181.17545,27.903276,39.35,0.165056,5.0E-5,0,'QSO','STARBURST BROADLINE',181.17544694,27.90327889,42,2,0.014248461221359365
6676,56389,620,'v5_10_0',Decimal('7516678309574320128'),181.39472,50.29114,10.95,1.27119,3.14E-4,0,'QSO','BROADLINE',181.39471389,50.29108389,,,0.20248424569845555
6974,56442,573,'v5_10_0',Decimal('7852183563440988160'),181.44588,63.83788,60.49,0.749975,6.0E-5,0,'QSO','BROADLINE',181.44591694,63.83792194,43,2,0.1619695835890582
599,52317,297,'26',Decimal('674495721809930240'),181.44595,63.837864,29.51,0.749461,9.1E-5,0,'QSO','BROADLINE',181.44591694,63.83792194,43,2,0.21508364926682585
6838,56429,382,'v5_10_0',Decimal('7699008674212061184'),181.53765,56.628255,10.57,0.521968,5.2E-5,0,'QSO','BROADLINE',181.53762306,56.628175,,,0.2928993058215672
6969,56420,410,'v5_10_0',Decimal('7846509258438844416'),181.54682,58.218916,38.75,1.1935,1.37E-4,0,'QSO','BROADLINE',181.54679806,58.21896889,44,3,0.19489522862458758
1314,52792,419,'26',Decimal('1479547698276231168'),181.54683,58.218898,16.54,1.19233,6.25E-4,0,'QSO','BROADLINE',181.54679806,58.21896889,44,3,0.2622908633469309
1314,53050,420,'26',Decimal('1479547977482659840'),181.54683,58.218898,52.55,1.19168,3.0E-4,0,'QSO','BROADLINE',181.54679806,58.21896889,44,3,0.2622908633469309
1314,52792,477,'26',Decimal('1479563641194833920'),181.57764,57.879953,8.0,0.256753,4.9E-5,0,'QSO','BROADLINE',181.5776,57.88000806,45,3,0.21248913094809102
1314,53050,472,'26',Decimal('1479562271133820928'),181.57764,57.879953,26.84,0.25671,2.9E-5,0,'QSO','STARBURST BROADLINE',181.5776,57.88000806,45,3,0.21248913094809102
6969,56420,406,'v5_10_0',Decimal('7846508158927216640'),181.57767,57.879959,18.39,0.256529,3.6E-5,0,'QSO','STARBURST BROADLINE',181.5776,57.88000806,45,3,0.22168836423812815
6682,56390,626,'v5_10_0',Decimal('7523435358299594752'),181.59521,53.308108,6.77,0.755732,1.0E-4,0,'QSO','BROADLINE',181.59528194,53.308045,,,0.27456254120836887
1229,52723,397,'26',Decimal('1383840157723027456'),181.60651,10.44228,29.59,1.33345,2.43E-4,0,'QSO','BROADLINE',181.60650306,10.44227611,46,2,0.028280867691453698
5391,56000,614,'v5_10_0',Decimal('6069895273487769600'),181.60651,10.442262,37.7,1.33427,2.06E-4,0,'QSO','BROADLINE',181.60650306,10.44227611,46,2,0.05642631577823069
5392,56010,480,'v5_10_0',Decimal('6070984339922853888'),181.89428,15.112136,33.79,0.750706,5.7E-5,0,'QSO','BROADLINE',181.894285,15.11214,47,2,0.02256851740774764
1764,53467,541,'26',Decimal('1986236202784679936'),181.8943,15.112137,28.64,0.749744,1.01E-4,0,'QSO','BROADLINE',181.894285,15.11214,47,2,0.053239475852592
6974,56442,371,'v5_10_0',Decimal('7852128038103785472'),182.01102,63.058055,31.21,2.58188,1.39E-4,0,'QSO','BROADLINE',182.01102194,63.058055,48,3,0.0031643627583224313
778,52337,504,'26',Decimal('876088705197041664'),182.01107,63.058003,35.6,2.57881,2.36E-4,0,'QSO','BROADLINE',182.01102194,63.058055,48,3,0.2029508789207424
778,54525,507,'26',Decimal('876089566539311104'),182.01107,63.058003,32.14,2.58365,2.34E-4,0,'QSO','BROADLINE',182.01102194,63.058055,48,3,0.2029508789207424
1229,52723,409,'26',Decimal('1383843456257910784'),182.10464,11.080362,19.5,1.53833,3.16E-4,0,'QSO','BROADLINE',182.10461306,11.08032389,,,0.16697673533195054
7427,56751,243,'v5_10_0',Decimal('8362125516715565056'),182.63478,45.00573,48.8,0.36136,3.4E-5,0,'QSO','BROADLINE',182.63478,45.00573194,49,2,0.006984000005630766
1369,53089,611,'26',Decimal('1541524974693541888'),182.63479,45.00573,36.09,0.360855,3.3E-5,0,'QSO','BROADLINE',182.63478,45.00573194,49,2,0.02639406422699123
6972,56426,272,'v5_10_0',Decimal('7849849025108877312'),182.73716,61.09775,1.24,6.92365,6.01E-4,0,'QSO','',182.73716389,61.09775,,,0.0067683679353788525
1612,53149,172,'26',Decimal('1814997981661784064'),182.76634,12.568387,39.04,1.00205,1.73E-4,0,'QSO','BROADLINE',182.766335,12.56837889,50,2,0.034074395620492394
5390,56002,22,'v5_10_0',Decimal('6068606645893570560'),182.76634,12.568381,40.81,1.00295,1.19E-4,0,'QSO','BROADLINE',182.766335,12.56837889,50,2,0.01914046091795085
1449,53116,1,'26',Decimal('1631429292170700800'),182.80823,46.786659,15.14,0.294196,-1.0,0,'QSO','BROADLINE',182.80823306,46.78666,51,2,0.008357897004011445
7426,56771,55,'v5_10_0',Decimal('8360947940097761280'),182.80824,46.786663,22.15,0.294158,5.8E-5,0,'QSO','STARBURST BROADLINE',182.80823306,46.78666,51,2,0.020230873167869548
6688,56412,216,'v5_10_0',Decimal('7530078058167902208'),182.98515,54.488529,14.97,0.388918,5.2E-5,0,'QSO','STARBURST BROADLINE',182.98518194,54.48847889,,,0.19236336694840578
6676,56389,835,'v5_10_0',Decimal('7516737408324313088'),183.00026,51.279024,10.52,0.780669,1.66E-4,0,'QSO','BROADLINE',183.00028389,51.27893889,,,0.31108315988130064
7427,56751,151,'v5_10_0',Decimal('8362100227948126208'),183.08345,45.860621,44.24,0.385949,2.9E-5,0,'QSO','BROADLINE',183.08345,45.86062111,,,3.9599997316979314E-4
3845,55323,876,'v5_10_0',Decimal('4329326024162516992'),183.20998,0.860226,10.27,0.307511,2.7E-5,0,'QSO','STARBURST BROADLINE',183.20997611,0.86022111,,,0.022493746386430282
5847,56037,20,'v5_10_0',Decimal('6583142354152038400'),183.26258,17.239791,21.54,2.54334,2.47E-4,0,'QSO','BROADLINE',183.26257694,17.23979194,52,2,0.011051905445486268
2596,54207,172,'26',Decimal('2922883507745220608'),183.26259,17.239806,21.28,2.5429,3.07E-4,0,'QSO','BROADLINE',183.26257694,17.23979194,52,2,0.06766329622859572
6688,56412,150,'v5_10_0',Decimal('7530059916226043904'),183.299,54.084532,9.49,0.514757,3.8E-5,0,'QSO','STARBURST BROADLINE',183.29903806,54.08447111,,,0.23347402118851776
6975,56720,258,'v5_10_0',Decimal('7853222881471209472'),183.31485,65.355942,31.4,2.11322,2.07E-4,0,'QSO','BROADLINE',183.31485194,65.35594194,53,2,0.002920186627423062
599,52317,483,'26',Decimal('674546849100621824'),183.31488,65.355864,17.06,2.11158,3.49E-4,0,'QSO','BROADLINE',183.31485194,65.35594194,53,2,0.28372807128009936
6476,56358,650,'v5_10_0',Decimal('7291506574022909952'),183.57416,29.528698,24.06,0.06349,1.9E-5,0,'QSO','AGN BROADLINE',183.57418611,29.52872889,,,0.13804130446229568
6476,56358,374,'v5_10_0',Decimal('7291430707720593408'),183.67629,28.058105,35.24,2.88207,4.09E-4,0,'QSO','',183.67628389,28.05809806,,,0.03163827920834388
1450,53120,486,'26',Decimal('1632688507929520128'),183.83094,42.814179,23.59,2.31089,1.05E-4,0,'QSO','BROADLINE',183.83094194,42.814175,54,2,0.015284211763043978
6633,56369,594,'v5_10_0',Decimal('7468257466418962432'),183.83095,42.814179,12.68,2.31396,2.06E-4,0,'QSO','BROADLINE',183.83094194,42.814175,54,2,0.025698489741107586
3846,55327,422,'v5_10_0',Decimal('4330327129566715904'),183.95754,-0.575606,31.18,2.70372,2.48E-4,0,'QSO','BROADLINE',183.95754389,-0.575605,55,2,0.014458638460779764
288,52000,266,'26',Decimal('324332324248381440'),183.95755,-0.575585,31.76,2.70732,3.86E-4,16,'QSO','BROADLINE',183.95754389,-0.575605,55,2,0.07528462780227571
5394,56001,888,'v5_10_0',Decimal('6073348289771577344'),184.00329,11.868756,34.76,1.49927,2.51E-4,0,'QSO','BROADLINE',184.00328611,11.86879,56,2,0.12316483417654862
1613,53115,254,'26',Decimal('1816146420986570752'),184.0033,11.868759,32.62,1.50051,2.41E-4,0,'QSO','BROADLINE',184.00328611,11.86879,56,2,0.12185725999716675
4701,55709,152,'v5_10_0',Decimal('5292897339291181056'),184.37165,37.651052,24.29,1.02417,1.64E-4,0,'QSO','BROADLINE',184.37164694,37.65105111,,,0.009291751083874615
2597,54231,329,'26',Decimal('2924052563886106624'),184.40198,18.072419,32.52,1.08677,2.27E-4,0,'QSO','BROADLINE',184.40198889,18.07243,,,0.04993842144118657
1999,53503,124,'26',Decimal('2250708057409480704'),184.45942,32.953187,22.27,2.048,2.39E-4,0,'QSO','BROADLINE',184.45939806,32.95319611,,,0.0739471138407582
5979,56329,524,'v5_10_0',Decimal('6731899685219311616'),184.54578,24.236362,32.5,2.37528,3.85E-4,0,'QSO','BROADLINE',184.54578,24.23636306,57,2,0.0038159999912724834
2657,54502,57,'26',Decimal('2991531796052600832'),184.5458,24.236359,37.54,2.3709,1.05E-4,0,'QSO','BROADLINE',184.54578,24.23636306,57,2,0.06726115274162797
4701,55709,148,'v5_10_0',Decimal('5292896239779553280'),184.55962,37.50774,28.48,2.20607,1.41E-4,0,'QSO','BROADLINE',184.55962,37.50774,58,3,0.0
8866,57457,552,'v5_10_0',Decimal('9982380431780061184'),184.55962,37.50774,28.54,2.20284,1.46E-4,0,'QSO','BROADLINE',184.55962,37.50774,58,3,0.0
2001,53493,87,'26',Decimal('2252949686572836864'),184.55963,37.507739,21.64,2.20995,2.22E-4,0,'QSO','BROADLINE',184.55962,37.50774,58,3,0.028783773885970143
1766,53468,532,'26',Decimal('1988485528713979904'),184.68081,15.604792,41.42,2.2657,9.9E-5,0,'QSO','BROADLINE',184.68080806,15.60479389,59,2,0.00956771465525156
5398,56011,574,'v5_10_0',Decimal('6077765577903939584'),184.68081,15.604794,45.36,2.26856,1.12E-4,0,'QSO','BROADLINE',184.68080806,15.60479389,59,2,0.0067382166265733704
4613,55591,72,'v5_10_0',Decimal('5193796155276763136'),184.79205,35.082459,35.44,1.49925,2.81E-4,0,'QSO','BROADLINE',184.79205889,35.08246194,60,2,0.028247499317188545
1999,53503,524,'26',Decimal('2250818008572258304'),184.79207,35.082462,25.38,1.49859,3.0E-4,0,'QSO','BROADLINE',184.79205889,35.08246194,60,2,0.03273046691119609
970,52413,120,'26',Decimal('1092155935469627392'),184.87824,49.681198,39.43,2.69876,3.3E-4,0,'QSO','BROADLINE',184.878215,49.68117611,61,2,0.0979858373161242
6675,56415,390,'v5_10_0',Decimal('7515489188185088000'),184.87831,49.68125,44.74,2.70076,1.16E-4,0,'QSO','BROADLINE',184.878215,49.68117611,61,2,0.34601493890361806
5399,55956,620,'v5_10_0',Decimal('6078904121271754752'),185.07032,11.44114,42.18,1.8718,0.002069,0,'QSO','BROADLINE',185.07031194,11.44116194,,,0.08394803734750449
6681,56419,401,'v5_10_0',Decimal('7522247611350228992'),185.08799,52.115442,33.36,1.12715,1.51E-4,0,'QSO','BROADLINE',185.08799,52.115445,62,2,0.010799999996903249
884,52374,268,'26',Decimal('995369224757078016'),185.08801,52.115433,30.06,1.12654,2.09E-4,0,'QSO','BROADLINE',185.08799,52.115445,62,2,0.061814635332399524
2231,53816,567,'26',Decimal('2512038611961014272'),185.15514,28.631119,26.2,2.19696,2.69E-4,0,'QSO','BROADLINE',185.15513694,28.63113889,63,2,0.07225387366304614
6476,56358,74,'v5_10_0',Decimal('7291348244348510208'),185.15515,28.631132,23.96,2.19801,4.61E-4,0,'QSO','BROADLINE',185.15513694,28.63113889,63,2,0.048147737562400324
